CODIGO,TITULO
10105,General Officer of the Air Force
10110,General Officer of the Army
10115,Navy General Officer
10205,Air Force Officer
10210,Army Officer
10215,Navy Officer
10305,Aeronautics Square
10310,Army Square
10315,Navy Square
20105,Colonel of the military police
20110,Lieutenant Colonel of the Military Police
20115,Major of the military police
20205,Captain of the military police
20305,First lieutenant of military police
20310,Second lieutenant of military police
21105,Military police warrant officer
21110,Sergeant of the military police
21205,Military police corporal
21210,Military police soldier
30105,Military firefighter colonel
30110,Major military firefighter
30115,Lieutenant Colonel Military Firefighter
30205,Military firefighter captain
30305,Lieutenant of the military fire brigade
31105,Military Firefighter Sub-Lieutenant
31110,Military firefighter sergeant
31205,Military firefighter corporal
31210,Military Firefighter Soldier
111105,Senator
111110,Federal deputy
111115,State and district deputy
111120,Alderman
111205,President of the Republic
111210,Vice-President of the Republic
111215,Minister of State
111220,Executive Secretary
111225,Senior member of the executive branch
111230,State Governor
111235,Governor of the Federal District
111240,Deputy state governor
111245,Vice-governor of the federal district
111250,Mayor
111255,Deputy mayor
111305,Minister of the Federal Supreme Court
111310,Minister of the Superior Court of Justice
111315,Minister of the Superior Military Court
111320,Minister of the Superior Labor Court
111325,Judge
111330,Federal judge
111335,Federal Hearing Judge - Military Justice
111340,State Hearing Judge - Military Justice
111345,Labor Judge
111405,Head of the federal public service
111410,Head of state and district public service
111415,Municipal public service leader
111505,Public Policy and Government Management Specialist - eppgg
111510,Planning and Budget Analyst - apo
113005,Chief
113010,Caiçara Community Leader
113015,Member of quilombola leadership
114105,Leader of a political party
114205,Leader of a workers' organization
114210,Employer manager
114305,Leader and administrator of a religious organization
114405,Leader and administrator of a non-profit civil society organization
121005,Director of Strategic Planning
121010,Managing Director of Companies and Organizations (except Public Interest)
122105,Director of Production and Operations in an Agricultural Company
122110,Director of production and operations in an aquaculture company
122115,Director of production and operations in a forestry company
122120,Director of production and operations in a fishing company
122205,"Director of Production and Operations for the Manufacturing, Mineral Extraction and Utilities Industry"
