SUBCAT,DESCRICAO
A000,"Cholera due to Vibrio cholerae 01, cholerae biotype"
A001,"Cholera due to Vibrio cholerae 01, El Tor biotype"
A009,Unspecified cholera
A010,Typhoid
A011,Paratyphoid fever A
A012,Paratyphoid fever B
A013,Paratyphoid Fever C
A014,Paratyphoid fever unspecified
A020,Salmonella enteritis
A021,Salmonella septicemia
A022,Localized salmonella infections
A028,Other specified salmonella infections
A029,Unspecified salmonella infection
A030,Shiguelosis due to Shigella dysenteriae
A031,Shiguelose due to Shigella flexneri
A032,Shiguelose due to Shigella boydii
A033,Shiguelose due to Shigella sonnei
A038,Other shigueloses
A039,Shiguelosis not specified
A040,Enteropathogenic Escherichia coli infection
A041,Enterotoxigenic Escherichia coli infection
A042,Enteroinvasive Escherichia coli infection
A043,Enterohemorrhagic Escherichia coli infection
A044,Other Intestinal Escherichia coli Infections
A045,Campylobacter Enteritis
A046,Enteritis due to Yersinia enterocolytic
A047,Enterocolitis due to Clostridium difficile
A048,Other specified intestinal bacterial infections
A049,Unspecified bacterial intestinal infection
A050,Staphylococcal food poisoning
A051,Botulism
A052,Food poisoning due to Clostridium perfringens [Clostridium welchii]
A053,Food poisoning due to Vibrio parahemolyticus
A054,Food poisoning due to Bacillus cereus
A058,Other specified bacterial food poisoning
A059,Unspecified bacterial food poisoning
A060,Acute amoebic dysentery
A061,Chronic intestinal amebiasis
A062,Non-dysenteric amoebic colitis
A063,Intestinal amoeboma
A064,Amebic abscess of the liver
A065,Amoebic lung abscess
A066,Amoebic abscess of the brain
A067,Cutaneous amoebiasis
A068,Amoebic infection from other locations
A069,Unspecified amebiasis
A070,Balantidiasis
A071,Giardiasis [lambliasis]
A072,Cryptosporidiosis
A073,Isosporiasis
A078,Other intestinal diseases specified by protozoa
A079,Unspecified Intestinal Disease by Protozoa
A080,Rotavirus enteritis
A081,Acute gastroenteropathy due to Norwalk's agent
A082,Adenovirus Enteritis
A083,Other viral enteritis
A084,Intestinal infection due to unspecified virus
A085,Other specified intestinal infections
A09,Diarrhea and gastroenteritis of presumed infectious origin
A150,"Pulmonary tuberculosis, confirmed by microscopic examination of sputum, with or without culture"
A151,"Pulmonary tuberculosis, confirmed only by culture"
A152,Histologically confirmed pulmonary tuberculosis
A153,"Pulmonary tuberculosis, confirmed by unspecified means"
A154,"Tuberculosis of the intrathoracic ganglia, with bacteriological and histological confirmation"
A155,"Tuberculosis of the larynx, trachea, and bronchi, with bacteriological and histological confirmation"
A156,"Tuberculous pleuris, with bacteriological and histological confirmation"
A157,"Primary tuberculosis of the respiratory tract, with bacteriological and histological confirmation"
A158,"Other forms of tuberculosis of the respiratory tract, with bacteriological and histological confirmation"
A159,"Unspecified tuberculosis of the respiratory tract, with bacteriological and histological confirmation"
A160,Pulmonary tuberculosis with negative bacteriological and histological tests
A161,"Pulmonary tuberculosis, without bacteriological or histological examination"
A162,"Pulmonary tuberculosis, with no mention of bacteriological or histological confirmation"
A163,"Tuberculosis of the intrathoracic ganglia, with no mention of bacteriological or histological confirmation"
A164,"Tuberculosis of the larynx, trachea, and bronchi, with no mention of bacteriological or histological confirmation"
A165,"Tuberculous pleurisy, with no mention of bacteriological or histological confirmation"
A167,Primary respiratory tuberculous with no mention of bacteriological or histological confirmation
A168,"Other forms of tuberculosis of the respiratory tract, with no mention of bacteriological or histological confirmation"
A169,"Respiratory tuberculosis, unspecified, with no mention of bacteriological or histological confirmation"
A170,Tuberculous meningitis
A171,Meningeal tuberculoma
A178,Other tuberculosis of the nervous system
A179,Unspecified tuberculosis of the nervous system
A180,Bone and joint tuberculosis
A181,Tuberculosis of the genitourinary system
A182,Peripheral tuberculous lymphadenopathy
A183,"Tuberculosis of the intestine, peritoneum, and mesenteric ganglia"
A184,Tuberculosis of the skin and subcutaneous cellular tissue
A185,Tuberculosis of the eye
A186,Tuberculosis of the ear
A187,Adrenal tuberculosis
A188,Tuberculosis of other specified organs
A190,"Single-site, specified acute miliary tuberculosis"
A191,Acute miliary tuberculosis of multiple locations
A192,Acute Miliary Tuberculosis Unspecified
A198,Other miliary tuberculosis
A199,Miliary tuberculosis unspecified
A200,Bubonic plague
A201,Cellulocutaneous plague
A202,Pneumonic plague
A203,Meningeal plague
A207,Septicemic plague
A208,Other forms of plague
A209,"Plague, form unspecified"
A210,Ulceroglandularular tularemia
A211,Oculoglandular tularemia
A212,Pulmonary tularemia
A213,Gastrointestinal tularemia
A217,Generalized tularemia
A218,Other forms of tularemia
A219,"Tularemia, unspecified form"
A220,Cutaneous anthrax
A221,Pulmonary carbuncle
A222,Gastrointestinal anthrax
A227,Carbuncle septicemia
A228,Other forms of anthrax
A229,"Carbuncle, unspecified form"
A230,Brucellosis by Brucella melitensis
A231,Brucellosis by Brucella abortus
A232,Brucellosis by Brucella suis
A233,Brucellosis by Brucella canis
A238,Other brucellosis
A239,Brucellosis unspecified
A240,Glanders
A241,Acute and fulminant melioidosis
A242,Subacute and chronic melioidosis
A243,Other melioidosis
A244,Melioidosis unspecified
A250,Spirilosis
A251,Streptobacillosis
A259,"Fever transmitted by rat bite, type unspecified"
A260,Cutaneous erysipeloid
A267,Septicemia por Erysipelothrix
A268,Other forms of erysipeloid
A269,Erysipeloid unspecified
A270,Leptopyrogenesis
A278,Other forms of leptospirosis
A279,Leptospirosis unspecified
A280,Pasteurellosis
A281,Cat-scratch disease
A282,Extra-intestinal yersiniosis
A288,Other specified zoonotic bacterial diseases not elsewhere classified
A289,Unspecified zoonotic bacterial disease
A300,Leprosy [leprosy] indeterminate
A301,Tuberculoid leprosy [leprosy]
A302,Borderline tuberculoid leprosy [leprosy]
A303,Borderline leprosy
A304,Borderline lepromatous leprosy
A305,Lepromatous leprosy
A308,Other forms of leprosy [leprosy]
A309,Leprosy [leprosy] unspecified
A310,Mycobacterial lung infection
A311,Mycobacterial skin infection
A318,Other mycobacterial infections
A319,Unspecified mycobacterial infection
A320,Cutaneous listeriosis
A321,Meningitis and meningoencephalitis due to listeria
A327,Listeriotic septicemia
A328,Other forms of listeriosis
A329,Listeriosis unspecified
A33,Newborn tetanus [neonatal]
A34,Obstetric tetanus
A35,Other types of tetanus
A360,Pharyngeal diphtheria
A361,Nasopharyngeal diphtheria
A362,Laryngeal diphtheria
A363,Cutaneous diphtheria
A368,Other forms of diphtheria
A369,Diphtheria unspecified
A370,Pertussis by Bordetella pertussis
A371,Pertussis by Bordetella parapertussis
A378,Pertussis for other species of Bordetella
A379,Unspecified pertussis
A38,Scarlet fever
A390,Meningococcal meningitis
A391,Waterhouse-Friderichsen Syndrome
A392,Acute meningococcemia
A393,Chronic meningococcemia
A394,Meningococcemia unspecified
A395,Meningococcal carditis
A398,Other meningococcal infections
A399,Meningococcal infection not specified
A400,Group A Streptococcus septicemia
A401,Group B Streptococcus septicemia
A402,Group D Streptococcus septicemia
A403,Streptococcus pneumonia septicemia
A408,Other streptococcal septicemia
A409,Unspecified streptococcal septicemia
A410,Staphylococcus aureus septicemia
A411,Septicaemia due to other specified staphylococci
A412,Staphylococcal sepsis unspecified
A413,Haemophilus influenzae septicemia
A414,Anaerobic septicemia
A415,Sepsis due to other gram-negative microorganisms
A418,Other specified septicemia
A419,Sepsis unspecified
